ReviewID,AccommodationID,UserID,ReviewText,Rating,ReviewDate
143,24,326,Wonderful host!,3,2024-06-19
144,50,329,I'll be coming back for sure.,3,2024-10-15
145,27,330,Wonderful host!,5,2024-06-25
146,39,331,A true home away from home.,4,2024-12-18
147,3,331,A bit noisy but manageable.,4,2024-10-01
148,29,333,Loved the view!,5,2024-09-05
149,32,333,Forever am I at work here.,5,2024-08-17
150,17,333,I'll be coming back for sure.,3,2024-11-22
151,28,337,Would definitely book again.,3,2024-06-15
152,4,338,Would definitely book again.,4,2024-10-27
153,24,338,Clean and comfortable.,4,2024-10-10
154,9,340,Would definitely book again.,3,2024-06-20
155,2,340,Forever am I at work here.,4,2024-09-30
156,14,345,Would definitely book again.,5,2024-09-04
157,38,346,I'll be coming back for sure.,4,2024-07-13
158,45,350,Excellent stay!,4,2024-10-30
159,40,350,A true home away from home.,3,2024-10-14
160,30,352,A bit noisy but manageable.,3,2024-10-03
161,35,353,Convenient and affordable.,4,2024-12-05
162,24,354,Excellent stay!,3,2024-08-30
163,37,355,The pool was fantastic!,5,2024-07-30
164,44,356,Forever am I at work here.,4,2024-09-16
165,35,357,Met all my expectations.,3,2024-06-13
166,14,358,Convenient and affordable.,3,2024-10-23
167,24,359,The pool was fantastic!,5,2024-06-08
168,29,360,Convenient and affordable.,3,2024-09-27
169,1,360,I'll be coming back for sure.,5,2024-09-14
170,18,361,Excellent stay!,5,2024-09-09
171,25,363,I'll be coming back for sure.,5,2024-08-06
172,20,365,The pool was fantastic!,5,2024-11-05
173,36,366,A bit noisy but manageable.,4,2024-09-04
174,21,367,Met all my expectations.,3,2024-09-12
175,6,367,Forever am I at work here.,4,2024-11-02
176,28,371,Convenient and affordable.,4,2024-06-26
177,43,372,I'll be coming back for sure.,5,2024-10-04
178,12,375,A bit noisy but manageable.,3,2024-10-17
179,32,375,The pool was fantastic!,4,2024-11-05
180,23,376,I'll be coming back for sure.,3,2024-07-10
181,50,376,The amenities were great.,3,2024-10-19
182,49,376,Forever am I at work here.,5,2024-06-29
183,32,377,Forever am I at work here.,4,2024-11-23
184,47,378,Forever am I at work here.,3,2024-11-04
185,15,379,Excellent stay!,4,2024-09-24
186,23,380,Forever am I at work here.,4,2024-11-02
187,6,381,I'll be coming back for sure.,5,2024-06-30
188,29,381,Wonderful host!,5,2024-07-03
189,11,382,The amenities were great.,3,2024-11-21
190,23,386,Perfect location!,3,2024-10-23
191,23,388,Convenient and affordable.,5,2024-11-27
192,49,389,Clean and comfortable.,3,2024-07-30
193,3,396,Clean and comfortable.,3,2024-10-12
194,44,396,Wonderful host!,4,2024-06-09
195,49,398,Clean and comfortable.,4,2024-11-07
196,42,399,Highly recommended!,5,2024-09-08
197,4,399,The amenities were great.,5,2024-08-31
198,33,399,Wonderful host!,3,2024-08-30
199,25,400,Met all my expectations.,5,2024-11-10
